0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16
0,1,3,2,6,7,5,4,20,21,23,22,18,19,27,26,30,31,29,28,12,13,15,14,10,11,9,8,24,25,17,16
0,1,3,2,6,7,5,4,20,21,23,22,18,26,30,31,29,28,12,13,15,14,10,11,9,8,24,25,27,19,17,16
0,1,3,2,6,7,5,4,20,21,23,22,30,31,29,28,12,13,15,14,10,11,9,8,24,25,27,26,18,19,17,16
0,1,3,2,6,7,5,4,20,21,23,31,29,28,12,13,15,14,10,11,9,8,24,25,27,26,30,22,18,19,17,16
0,1,3,2,6,7,5,4,20,21,23,31,29,28,12,13,15,14,30,22,18,26,10,11,9,8,24,25,27,19,17,16
0,1,3,2,6,7,5,4,20,21,29,28,12,13,15,14,10,11,9,8,24,25,27,26,30,31,23,22,18,19,17,16
0,1,3,2,6,7,5,4,20,21,29,28,12,13,15,14,30,31,23,22,18,19,27,26,10,11,9,8,24,25,17,16
0,1,3,2,6,7,5,4,20,28,12,13,15,14,10,11,9,8,24,25,27,26,30,31,29,21,23,22,18,19,17,16
0,1,3,2,10,11,9,13,15,14,6,7,5,4,12,8,24,28,20,21,23,22,30,31,29,25,27,26,18,19,17,16
0,1,3,2,10,11,9,13,15,14,6,7,5,4,20,21,23,22,30,31,29,28,12,8,24,25,27,26,18,19,17,16
0,1,3,2,10,11,15,14,6,7,5,4,12,13,9,8,24,25,29,28,20,21,23,22,30,31,27,26,18,19,17,16
0,1,3,2,10,11,15,14,6,7,5,4,20,21,23,22,30,31,29,28,12,13,9,8,24,25,27,26,18,19,17,16
0,1,3,2,10,14,6,7,15,11,9,13,5,4,12,8,24,28,20,21,29,25,27,31,23,22,30,26,18,19,17,16
0,1,3,2,10,14,6,7,5,4,12,13,15,11,9,8,24,25,27,31,29,28,20,21,23,22,30,26,18,19,17,16
