0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,10,8,24,16
0,1,3,2,18,,,,,,,,,,,,,,,,,,,,,,,,10,8,24,16
0,1,5,7,3,2,,,,,,,,,,,,,,,,,,,,,,,12,8,24,16
0,1,17,19,23,,,,,,,,,,,,,,,,,,,,,,,,10,8,24,16
0,1,17,19,23,,,,,,,,,,,,,,,,,,,,,,,,12,8,24,16
0,1,17,21,23,,,,,,,,,,,,,,,,,,,,,,,,10,8,24,16
0,1,17,21,23,,,,,,,,,,,,,,,,,,,,,,,,12,8,24,16
0,1,17,25,27,,,,,,,,,,,,,,,,,,,,,,,,10,8,24,16
0,1,17,25,29,,,,,,,,,,,,,,,,,,,,,,,,10,8,24,16
0,1,17,25,29,,,,,,,,,,,,,,,,,,,,,,,,12,8,24,16
0,1,17,19,23,,,,,,,,,,,,,,,,,,,,,,,,27,26,18,16
0,1,17,19,23,,,,,,,,,,,,,,,,,,,,,,,,30,26,18,16
0,1,17,19,3,2,,,,,,,,,,,,,,,,,,,,,,,27,26,18,16
